agent,średni_wynik,najlepszy_wynik,średnie_kroki,epizody_treningu,liczba_testów,plansza,limit_kroków
losowy,0.17,2,15.72,0,100,10x10,1000
heurystyka_jedzenia,19.82,37,163.29,0,100,10x10,1000
Q-learning,14.48,25,115.71,10000,100,10x10,1000
DQN,17.71,34,140.90,1500,100,10x10,1000
NEAT,23.87,34,582.27,35,100,10x10,1000
