epizod,wynik,kroki,epsilon,rozmiar_pamięci,średnia_strata
654,13,91,0.037696,20000,13.204430
655,8,58,0.037507,20000,8.294009
656,5,38,0.037320,20000,7.155060
657,24,158,0.037133,20000,13.044427
658,17,153,0.036948,20000,10.507579
659,2,23,0.036763,20000,9.731942
660,3,22,0.036579,20000,17.899078
661,15,109,0.036396,20000,9.675033
662,16,152,0.036214,20000,8.832413
663,21,164,0.036033,20000,10.928780
664,15,117,0.035853,20000,11.542854
665,6,45,0.035674,20000,8.926539
666,19,140,0.035495,20000,9.759662
667,7,50,0.035318,20000,10.143139
668,16,132,0.035141,20000,8.765737
669,6,45,0.034966,20000,8.840274
670,21,141,0.034791,20000,8.253723
671,13,108,0.034617,20000,6.869564
672,10,70,0.034444,20000,8.915524
673,19,200,0.034272,20000,9.519037
674,8,90,0.034100,20000,10.619467
675,18,115,0.033930,20000,6.731785
676,20,151,0.033760,20000,8.769039
677,17,102,0.033591,20000,9.074766
678,18,128,0.033423,20000,10.232501
679,16,128,0.033256,20000,10.354840
680,2,10,0.033090,20000,4.332637
681,14,130,0.032924,20000,11.281910
682,8,54,0.032760,20000,7.833098
683,6,35,0.032596,20000,8.981427
684,22,213,0.032433,20000,10.325126
685,4,38,0.032271,20000,13.687037
686,4,27,0.032109,20000,22.016666
687,2,25,0.031949,20000,15.448766
688,17,158,0.031789,20000,9.661789
689,4,41,0.031630,20000,12.696882
690,18,127,0.031472,20000,8.919323
691,6,62,0.031315,20000,7.665141
692,9,58,0.031158,20000,11.047187
693,18,140,0.031002,20000,9.671184
694,8,55,0.030847,20000,10.255801
695,21,168,0.030693,20000,10.120006
696,11,96,0.030540,20000,10.635133
697,16,127,0.030387,20000,9.439909
698,4,43,0.030235,20000,9.456567
699,17,119,0.030084,20000,8.518663
700,26,226,0.029933,20000,12.814559
701,8,74,0.029784,20000,12.671093
702,11,84,0.029635,20000,10.467983
703,16,126,0.029487,20000,10.222543
704,20,182,0.029339,20000,10.065470
705,20,146,0.029193,20000,12.386087
706,15,123,0.029047,20000,13.404693
707,8,65,0.028901,20000,10.962169
708,4,22,0.028757,20000,8.531131
709,13,89,0.028613,20000,7.975944
710,25,184,0.028470,20000,11.832093
711,23,156,0.028328,20000,10.712246
712,9,83,0.028186,20000,10.035972
713,19,166,0.028045,20000,13.474405
714,8,67,0.027905,20000,11.837241
715,16,146,0.027765,20000,10.777685
716,22,188,0.027626,20000,12.748612
717,28,250,0.027488,20000,10.519248
718,17,134,0.027351,20000,11.673359
719,19,167,0.027214,20000,11.138496
720,22,152,0.027078,20000,12.707613
721,18,152,0.026943,20000,9.895654
722,19,161,0.026808,20000,9.743933
723,18,152,0.026674,20000,9.499150
724,23,146,0.026541,20000,10.659289
725,16,117,0.026408,20000,10.577107
726,24,198,0.026276,20000,10.739661
727,16,147,0.026144,20000,8.908743
728,19,151,0.026014,20000,9.716747
729,19,179,0.025884,20000,11.744964
730,31,281,0.025754,20000,10.226782
731,16,144,0.025625,20000,12.932419
732,10,65,0.025497,20000,13.968891
733,5,26,0.025370,20000,8.695830
734,19,196,0.025243,20000,11.078589
735,14,121,0.025117,20000,10.587820
736,24,202,0.024991,20000,10.606454
737,18,131,0.024866,20000,9.901260
738,16,124,0.024742,20000,9.550529
739,20,160,0.024618,20000,9.689430
740,23,176,0.024495,20000,12.758910
741,17,118,0.024373,20000,14.091980
742,2,20,0.024251,20000,13.681541
743,10,64,0.024130,20000,17.554908
744,13,101,0.024009,20000,14.877522
745,15,122,0.023889,20000,11.159270
746,14,99,0.023769,20000,12.938095
747,7,54,0.023651,20000,15.865186
748,11,78,0.023532,20000,13.448613
749,16,122,0.023415,20000,10.946332
750,15,125,0.023298,20000,15.055017
751,15,126,0.023181,20000,11.810838
752,26,235,0.023065,20000,13.027057
753,20,178,0.022950,20000,12.937839
754,13,112,0.022835,20000,14.772273
755,22,194,0.022721,20000,13.948625
756,12,106,0.022607,20000,12.156725
757,21,178,0.022494,20000,13.277466
758,18,158,0.022382,20000,12.255393
759,28,207,0.022270,20000,10.923135
760,14,120,0.022159,20000,12.982330
761,19,122,0.022048,20000,11.166284
762,13,114,0.021938,20000,11.299583
763,11,55,0.021828,20000,12.717177
764,10,65,0.021719,20000,11.405268
765,3,23,0.021610,20000,11.626353
766,13,108,0.021502,20000,10.131850
767,11,76,0.021395,20000,10.988684
768,19,142,0.021288,20000,12.918174
769,24,189,0.021181,20000,14.069806
770,11,69,0.021075,20000,13.179797
771,15,114,0.020970,20000,13.705431
772,10,75,0.020865,20000,13.526711
773,4,35,0.020761,20000,9.571182
774,14,112,0.020657,20000,13.007932
775,12,84,0.020554,20000,13.084168
776,30,276,0.020451,20000,12.447383
777,23,201,0.020349,20000,13.257521
778,4,25,0.020247,20000,12.756419
779,3,21,0.020146,20000,12.820165
780,14,65,0.020045,20000,13.968502
781,23,158,0.019945,20000,11.814459
782,18,112,0.019845,20000,15.246362
783,25,189,0.019746,20000,9.974833
784,20,197,0.019647,20000,14.408191
785,22,178,0.019549,20000,10.360370
786,16,101,0.019451,20000,12.692288
787,10,81,0.019354,20000,13.951699
788,24,197,0.019257,20000,11.921563
789,13,94,0.019161,20000,9.384893
790,8,48,0.019065,20000,12.530058
791,17,130,0.018970,20000,13.603371
792,19,130,0.018875,20000,11.565336
793,14,87,0.018780,20000,11.619753
794,24,241,0.018686,20000,12.455550
795,27,250,0.018593,20000,11.130707
796,4,59,0.018500,20000,12.555811
797,21,169,0.018408,20000,13.073201
798,12,80,0.018315,20000,15.034777
799,11,65,0.018224,20000,9.824086
800,22,196,0.018133,20000,12.890141
801,8,58,0.018042,20000,11.607278
802,23,147,0.017952,20000,12.704608
803,21,187,0.017862,20000,14.458865
804,11,77,0.017773,20000,13.665095
805,10,68,0.017684,20000,12.721261
806,7,44,0.017596,20000,11.250864
807,8,75,0.017508,20000,10.551133
808,13,131,0.017420,20000,11.860861
809,17,125,0.017333,20000,12.315672
810,13,93,0.017246,20000,11.252257
811,12,64,0.017160,20000,9.760010
812,17,137,0.017074,20000,12.623500
813,23,215,0.016989,20000,11.779079
814,8,66,0.016904,20000,12.166234
815,2,20,0.016819,20000,13.173357
816,24,187,0.016735,20000,13.406562
817,1,11,0.016652,20000,18.844549
818,13,110,0.016568,20000,11.479515
