epizod,wynik,kroki,epsilon,rozmiar_pamięci,średnia_strata
734,13,103,0.025243,20000,8.187787
735,17,118,0.025117,20000,12.114385
736,22,153,0.024991,20000,10.556079
737,26,231,0.024866,20000,9.883902
738,12,82,0.024742,20000,9.438727
739,8,75,0.024618,20000,10.630239
740,14,81,0.024495,20000,9.621681
741,9,74,0.024373,20000,12.513224
742,17,114,0.024251,20000,10.233695
743,11,66,0.024130,20000,8.422027
744,10,86,0.024009,20000,8.979880
745,14,108,0.023889,20000,9.532616
746,17,131,0.023769,20000,8.375687
747,14,109,0.023651,20000,12.098732
748,12,73,0.023532,20000,7.098781
749,22,137,0.023415,20000,12.633834
750,14,103,0.023298,20000,8.668468
751,10,88,0.023181,20000,7.962389
752,17,134,0.023065,20000,10.688748
753,5,46,0.022950,20000,9.920201
754,15,151,0.022835,20000,12.712434
755,7,39,0.022721,20000,7.001638
756,12,129,0.022607,20000,9.143721
757,27,252,0.022494,20000,10.588877
758,13,82,0.022382,20000,8.517989
759,22,180,0.022270,20000,10.990128
760,27,225,0.022159,20000,9.820223
761,17,162,0.022048,20000,10.558764
762,10,77,0.021938,20000,10.075032
763,15,152,0.021828,20000,9.222201
764,15,123,0.021719,20000,11.602082
765,21,153,0.021610,20000,9.819003
766,24,169,0.021502,20000,9.774360
767,11,107,0.021395,20000,9.410338
768,12,78,0.021288,20000,9.518734
769,30,276,0.021181,20000,10.507795
770,20,192,0.021075,20000,9.889329
771,11,79,0.020970,20000,13.473347
772,13,84,0.020865,20000,9.745463
773,12,85,0.020761,20000,10.042137
774,2,16,0.020657,20000,17.359888
775,16,114,0.020554,20000,8.972603
776,13,103,0.020451,20000,9.135217
777,15,117,0.020349,20000,12.260809
778,7,57,0.020247,20000,7.821886
779,8,67,0.020146,20000,9.078703
780,6,44,0.020045,20000,12.389492
781,15,145,0.019945,20000,10.434084
782,18,118,0.019845,20000,8.693792
783,19,120,0.019746,20000,10.385652
784,5,40,0.019647,20000,16.452342
785,4,45,0.019549,20000,8.790675
786,13,92,0.019451,20000,11.706352
787,17,122,0.019354,20000,10.553935
788,4,33,0.019257,20000,8.376141
789,16,99,0.019161,20000,14.182872
790,17,120,0.019065,20000,9.750383
791,16,127,0.018970,20000,10.235357
792,8,62,0.018875,20000,9.052102
793,32,246,0.018780,20000,10.895082
794,5,40,0.018686,20000,10.660861
795,17,130,0.018593,20000,11.530037
796,14,112,0.018500,20000,10.975890
797,16,117,0.018408,20000,11.124206
798,14,98,0.018315,20000,8.581902
799,1,9,0.018224,20000,9.323557
800,14,112,0.018133,20000,7.929786
801,10,62,0.018042,20000,9.361171
802,12,77,0.017952,20000,8.991093
803,10,89,0.017862,20000,10.218894
804,18,137,0.017773,20000,11.870783
805,12,115,0.017684,20000,9.864955
806,17,108,0.017596,20000,9.642400
807,19,144,0.017508,20000,10.320097
808,25,168,0.017420,20000,10.166015
809,14,100,0.017333,20000,11.039093
810,25,152,0.017246,20000,11.422510
811,20,131,0.017160,20000,11.217328
812,19,149,0.017074,20000,10.338483
813,22,182,0.016989,20000,10.788149
814,7,41,0.016904,20000,7.067116
815,12,80,0.016819,20000,10.143287
816,10,69,0.016735,20000,8.083586
817,8,68,0.016652,20000,9.352237
818,23,206,0.016568,20000,9.587454
819,11,78,0.016486,20000,9.924808
820,12,93,0.016403,20000,10.512758
821,9,66,0.016321,20000,11.992850
822,21,152,0.016239,20000,11.846156
823,19,161,0.016158,20000,11.300167
824,14,130,0.016078,20000,11.713423
825,15,92,0.015997,20000,9.907638
826,11,87,0.015917,20000,13.441761
827,8,72,0.015838,20000,12.692669
828,21,173,0.015758,20000,13.807862
829,13,94,0.015680,20000,10.881054
830,24,226,0.015601,20000,10.108476
831,18,118,0.015523,20000,12.579345
832,9,58,0.015446,20000,9.099528
833,6,31,0.015368,20000,11.908588
834,18,168,0.015291,20000,12.835160
835,21,178,0.015215,20000,12.121642
836,20,178,0.015139,20000,12.358323
837,25,182,0.015063,20000,9.740566
838,2,18,0.014988,20000,11.358907
839,15,86,0.014913,20000,13.029000
840,10,55,0.014838,20000,12.506477
841,24,194,0.014764,20000,12.289383
842,23,191,0.014690,20000,10.892498
843,19,143,0.014617,20000,12.033760
844,7,58,0.014544,20000,11.007458
845,20,133,0.014471,20000,11.015050
846,16,123,0.014399,20000,9.261642
